year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2002,5,2,634,375872,357858,xml,True,True,2026-06-23
2002,5,3,935,473449,457783,xml,True,True,2026-06-23
2002,7,1,543,317958,303729,xml,True,True,2026-06-23
2002,7,2,657,332598,316529,xml,True,True,2026-06-23
2002,7,3,481,257999,244106,xml,True,True,2026-06-23
2002,7,4,1029,631806,607387,xml,True,True,2026-06-23
2002,7,5,550,312759,295599,xml,True,True,2026-06-23
2002,7,6,804,545878,532269,xml,True,True,2026-06-23
2002,7,7,720,429533,414022,xml,True,True,2026-06-23
2002,7,8,878,519747,495589,xml,True,True,2026-06-23
2002,7,9,327,163446,141807,xml,True,True,2026-06-23
2002,7,10,962,559422,535243,xml,True,True,2026-06-23
2002,7,11,1261,667101,647027,xml,True,True,2026-06-23
2002,7,12,387,264819,264819,pdf,True,False,2026-06-23
2002,7,13,710,447759,429765,xml,True,True,2026-06-23
2002,7,14,630,389380,370150,xml,True,True,2026-06-23
2002,7,15,610,322982,312208,xml,True,True,2026-06-23
2002,8,1,880,552380,528812,xml,True,True,2026-06-23
2002,9,1,956,580351,553646,xml,True,True,2026-06-23
2002,9,2,766,452972,436926,xml,True,True,2026-06-23
2002,10,1,910,529278,509787,xml,True,True,2026-06-23
2002,10,2,781,474220,457962,xml,True,True,2026-06-23
2002,10,3,588,321943,305623,xml,True,True,2026-06-23
2002,10,4,988,562127,549092,xml,True,True,2026-06-23
2002,11,1,436,240412,240412,pdf,True,False,2026-06-23
2002,12,1,392,231171,218462,xml,True,True,2026-06-23
2002,12,2,479,291581,278195,xml,True,True,2026-06-23
2002,12,3,889,576155,562334,xml,True,True,2026-06-23
2002,12,4,595,354216,338398,xml,True,True,2026-06-23
2002,12,5,555,328744,299701,xml,True,True,2026-06-23
2002,12,6,1295,738353,705342,xml,True,True,2026-06-23
2002,13,1,696,393729,377249,xml,True,True,2026-06-23
2002,14,1,1125,613632,522284,xml,True,True,2026-06-23
2002,14,2,930,537659,509617,xml,True,True,2026-06-23
2002,14,3,374,207210,194954,xml,True,True,2026-06-23
2002,14,4,655,351834,339214,xml,True,True,2026-06-23
